Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LogSalePrice,TotalAreaRatio,HouseAgeAtSale,ExterQual_encoded
399,30,RM,60.0,9.101417964751995,Pave,No Alley,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,5,2,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Fa,BrkTil,Fa,Po,No,Unf,0,Unf,0,961,961,GasA,Gd,Y,Mix,1077,0,0,1077,0,0,1,0,2,1,TA,6,Maj2,0,No Fireplace,Detchd,1920.0,Unf,1,338,Po,Po,N,0,0,0,0,0,0,No Pool,No Fence,No Feature,0,11,2007,WD,Abnorml,67000,11.112462823634855,118.33320963513702,87,3
400,60,FV,65.0,9.002824076547672,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2006,2007,Gable,CompShg,CemntBd,CmentBd,Stone,100.0,Gd,TA,PConc,Gd,TA,No,GLQ,812,Unf,0,280,1092,GasA,Ex,Y,SBrkr,1112,438,0,1550,1,0,2,0,2,1,Gd,7,Typ,0,No Fireplace,Attchd,2007.0,Fin,2,438,TA,TA,Y,0,168,0,0,0,0,No Pool,No Fence,No Feature,0,10,2009,WD,Normal,241000,12.392556361841777,172.16819820324437,3,2
401,120,RL,38.0,9.613402595468036,Pave,No Alley,IR2,Lvl,AllPub,Inside,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1996,1996,Gable,CompShg,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,786,Unf,0,474,1260,GasA,Ex,Y,SBrkr,1288,0,0,1288,1,0,1,1,1,1,Ex,4,Typ,2,Gd,Attchd,1996.0,Fin,2,500,TA,TA,Y,120,30,0,0,224,0,No Pool,No Fence,No Feature,0,12,2008,WD,Normal,245500,12.411056299528171,133.97961722805522,12,2
402,20,RL,65.0,9.078864009187797,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,0,1286,1310,GasA,Ex,Y,SBrkr,1310,0,0,1310,0,0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,2005.0,Fin,2,400,TA,TA,Y,0,0,0,0,0,0,No Pool,No Fence,No Feature,0,7,2006,New,Partial,164990,12.013646205940514,144.29117989588588,1,2
403,30,RL,60.0,9.23024103368252,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1940,1997,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,672,672,GasA,Ex,Y,SBrkr,672,0,0,672,0,0,1,0,2,1,TA,4,Typ,0,No Fireplace,Detchd,1940.0,Unf,1,240,TA,TA,N,168,0,0,0,0,0,No Pool,GdPrv,No Feature,0,8,2008,WD,Normal,108000,11.58989576532275,72.80416595273864,68,3
404,60,RL,93.0,9.400216653174247,Pave,No Alley,Reg,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,650.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1141,1141,GasA,Gd,Y,SBrkr,1165,1098,0,2263,0,0,2,1,4,1,Gd,10,Typ,1,TA,BuiltIn,1998.0,Fin,2,420,TA,TA,Y,144,123,0,0,0,0,No Pool,No Fence,No Feature,0,7,2006,WD,Abnorml,258000,12.460718739865236,240.7391322449823,8,2
405,60,RL,69.0,9.24619002486988,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1995,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,806,806,GasA,Gd,Y,SBrkr,806,766,0,1572,0,0,2,1,3,1,TA,7,Typ,1,TA,BuiltIn,1995.0,Fin,2,373,TA,TA,Y,0,40,0,0,0,0,No Pool,No Fence,No Feature,0,5,2007,WD,Normal,168000,12.031725210748633,170.0159736898899,12,3
406,20,RL,69.0,9.209540051805414,Pave,No Alley,IR1,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,4,4,1976,1993,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,1116,Unf,0,165,1281,GasA,Ex,Y,SBrkr,1620,0,0,1620,1,0,2,0,3,1,TA,8,Min1,1,TA,Attchd,1993.0,Unf,2,490,TA,TA,Y,120,78,0,0,0,0,No Pool,GdWo,No Feature,0,6,2009,WD,Normal,150000,11.918397239722838,175.90455016072377,33,3
407,50,RL,51.0,9.257319373170178,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,6,5,1936,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,1064,1064,GasA,Ex,Y,FuseA,1166,0,473,1639,0,0,1,0,3,1,TA,6,Maj2,0,No Fireplace,Detchd,1936.0,Unf,1,240,TA,TA,Y,0,0,0,0,0,0,No Pool,No Fence,No Feature,0,3,2008,WD,Normal,115000,11.652696102959753,177.04909314787125,72,3
408,70,RL,63.0,9.653550746326605,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,6,7,1915,1976,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,TA,BrkTil,Gd,TA,No,Unf,0,Unf,0,840,840,GasA,Ex,Y,SBrkr,840,840,0,1680,0,0,2,0,4,1,TA,8,Typ,0,No Fireplace,Attchd,1960.0,Unf,1,308,TA,TA,Y,0,0,160,0,0,0,No Pool,No Fence,No Feature,0,3,2008,WD,Normal,177000,12.083910661257521,174.02922967378382,93,3
409,60,RL,109.0,9.557823197546,Pave,No Alley,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Ex,Gd,No,Unf,0,Unf,0,1063,1063,GasA,Ex,Y,SBrkr,1071,1101,0,2172,0,0,2,1,3,1,Gd,9,Typ,1,Gd,Attchd,2006.0,RFn,3,947,TA,TA,Y,192,62,0,0,0,0,No Pool,No Fence,No Feature,0,8,2007,New,Partial,280000,12.54254845357358,227.24839695273582,1,2
410,60,FV,85.0,9.287394001418473,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,100.0,Gd,TA,PConc,Ex,TA,No,GLQ,789,Unf,0,245,1034,GasA,Ex,Y,SBrkr,1050,1028,0,2078,1,0,2,1,3,1,Ex,8,Typ,1,Gd,Attchd,2008.0,Fin,3,836,TA,TA,Y,0,102,0,0,0,0,No Pool,No Fence,No Feature,0,4,2008,New,Partial,339750,12.73596827534975,223.7441417563016,1,2
411,20,RL,68.0,9.166597449028265,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,3,1958,1958,Gable,CompShg,BrkComm,Brk Cmn,None,0.0,TA,Fa,CBlock,TA,Fa,No,Unf,0,Unf,0,1276,1276,GasA,TA,Y,FuseA,1276,0,0,1276,0,0,1,0,3,1,TA,5,Mod,0,No Fireplace,Attchd,1958.0,Unf,1,350,TA,TA,Y,0,0,0,0,0,0,No Pool,No Fence,No Feature,0,6,2009,COD,Abnorml,60000,11.002116507732017,139.20105110923865,51,3
412,190,RL,100.0,10.453081864230466,Pave,No Alley,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,Rec,1056,Unf,0,0,1056,GasA,TA,N,SBrkr,1056,0,0,1056,1,0,1,0,3,1,TA,5,Typ,0,No Fireplace,Attchd,1955.0,Fin,2,572,TA,TA,Y,264,0,0,0,0,0,No Pool,No Fence,No Feature,0,1,2006,WD,Normal,145000,11.884495917930655,101.02283840457999,51,3
413,20,FV,69.0,8.390268497842571,Pave,No Alley,IR2,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2009,2009,Gable,CompShg,MetalSd,MetalSd,Stone,432.0,Ex,TA,PConc,Ex,TA,Av,GLQ,578,Unf,0,892,1470,GasA,Ex,Y,SBrkr,1478,0,0,1478,1,0,2,1,2,1,Gd,7,Typ,1,Gd,Attchd,2009.0,Fin,2,484,TA,TA,Y,0,144,0,0,0,0,No Pool,No Fence,No Feature,0,6,2010,New,Partial,222000,12.310437165348775,176.1564603540453,1,0
414,30,RM,56.0,9.10063710688422,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,6,1927,1950,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1008,1008,GasA,Gd,Y,FuseA,1028,0,0,1028,0,0,1,0,2,1,TA,5,Typ,1,Gd,Detchd,1927.0,Unf,2,360,TA,TA,Y,0,0,130,0,0,0,No Pool,No Fence,No Feature,0,3,2010,WD,Normal,115000,11.652696102959753,112.95912450155436,83,3
415,60,RL,59.0,9.326254996572539,Pave,No Alley,IR2,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1993,1993,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,BLQ,50,GLQ,531,499,1080,GasA,Ex,Y,SBrkr,1080,1017,0,2097,0,1,2,1,3,1,Gd,9,Typ,1,TA,Attchd,1993.0,Unf,3,678,TA,TA,Y,196,187,0,0,0,0,No Pool,No Fence,No Feature,0,12,2008,WD,Normal,228000,12.337105293891872,224.8490954590735,15,2
416,20,RL,73.0,9.093806555720231,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,0,1316,1340,GasA,Ex,Y,SBrkr,1340,0,0,1340,0,0,2,0,3,1,Gd,6,Typ,0,No Fireplace,Attchd,2007.0,Fin,2,396,TA,TA,Y,100,30,0,0,0,0,No Pool,No Fence,No Feature,0,8,2007,New,Partial,181134,12.106997888588934,147.3530354741389,0,2
417,60,RL,74.0,8.967631665167133,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,2Story,6,7,1978,1978,Hip,CompShg,HdBoard,HdBoard,BrkFace,203.0,TA,TA,CBlock,TA,TA,No,ALQ,209,Unf,0,463,672,GasA,TA,Y,SBrkr,672,728,0,1400,0,0,1,1,3,1,TA,6,Typ,1,TA,Attchd,1978.0,Fin,2,440,TA,TA,Y,0,0,0,0,0,0,No Pool,No Fence,No Feature,0,3,2006,WD,Normal,149500,11.915058360753719,156.11702758020311,28,3
418,70,RL,86.0,10.017753298664472,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Feedr,Norm,1Fam,2Story,6,6,1918,1950,Hip,CompShg,Wd Sdng,Stucco,None,0.0,TA,TA,BrkTil,Gd,TA,No,BLQ,1128,Unf,0,242,1370,GasW,TA,N,FuseA,1370,1254,0,2624,1,0,2,1,4,1,TA,10,Typ,1,Gd,Detchd,1918.0,Unf,3,864,TA,TA,N,0,0,0,0,0,0,No Pool,No Fence,No Feature,0,11,2007,WD,Normal,239000,12.384223015005313,261.93497900869863,89,3
419,50,RL,60.0,9.007121989469242,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,6,1940,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,ALQ,312,Unf,0,444,756,GasA,Fa,N,FuseF,756,378,0,1134,1,0,1,1,3,1,TA,7,Typ,0,No Fireplace,Detchd,1940.0,Unf,1,240,TA,TA,P,0,0,0,0,0,0,No Pool,No Fence,No Feature,0,4,2007,WD,AdjLand,126000,11.744045122410057,125.90037098707293,67,3
420,20,RL,65.0,9.042040056544483,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,775,Unf,0,281,1056,GasA,Ex,Y,SBrkr,1056,0,0,1056,1,0,1,0,3,1,TA,6,Typ,1,Fa,Attchd,1968.0,Unf,1,304,TA,TA,Y,0,85,184,0,0,0,No Pool,No Fence,No Feature,0,7,2010,WD,Normal,142000,11.863589378812122,116.78780379165477,42,3
421,90,RM,78.0,8.862341963516347,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,SFoyer,7,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,200.0,TA,Gd,PConc,Gd,Gd,Gd,GLQ,1309,Unf,0,35,1344,GasA,Ex,Y,SBrkr,1344,0,0,1344,2,0,2,0,2,2,TA,8,Typ,0,No Fireplace,Attchd,1997.0,Fin,4,784,TA,TA,Y,0,0,0,0,0,0,No Pool,No Fence,No Feature,0,11,2008,WD,Alloca,206300,12.237091546357338,151.6529158469457,11,3
422,20,RL,69.0,9.719324300862802,Pave,No Alley,IR1,Lvl,AllPub,FR2,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2000,Gable,CompShg,CemntBd,CmentBd,Stone,126.0,Gd,TA,CBlock,Gd,TA,No,ALQ,1246,Unf,0,356,1602,GasA,Gd,Y,SBrkr,1602,0,0,1602,0,1,2,0,3,1,Gd,8,Typ,1,TA,Attchd,1977.0,Fin,2,529,TA,TA,Y,240,0,0,0,0,0,No Pool,No Fence,No Feature,0,6,2009,WD,Normal,215000,12.278397958261774,164.82627293934289,32,2
423,20,RL,100.0,9.987415012471414,Pave,No Alley,Reg,HLS,AllPub,Inside,Mod,Mitchel,Artery,Norm,1Fam,1Story,5,5,1954,1954,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,988,988,GasA,Ex,Y,FuseA,988,0,0,988,0,0,1,0,2,1,TA,4,Typ,0,No Fireplace,Attchd,1954.0,RFn,2,520,TA,TA,N,0,0,0,0,0,0,No Pool,No Fence,No Feature,0,2,2008,WD,Normal,113000,11.635151947212842,98.92449635529029,54,3
424,60,RL,80.0,9.127067452782361,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,473.0,Gd,TA,PConc,Gd,TA,No,GLQ,986,Unf,0,484,1470,GasA,Gd,Y,SBrkr,1470,1160,0,2630,1,0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,1998.0,Fin,3,696,TA,TA,Y,0,66,0,0,0,0,No Pool,No Fence,No Feature,0,6,2008,WD,Normal,315000,12.660331092405906,288.1538910067167,10,2
425,20,RL,72.0,9.105090961257085,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,74.0,TA,TA,CBlock,Gd,TA,No,LwQ,616,Unf,0,580,1196,GasA,Gd,Y,FuseA,1196,0,0,1196,1,0,1,0,2,1,TA,6,Typ,1,Gd,Attchd,1956.0,RFn,1,297,TA,TA,Y,0,44,0,0,0,0,No Pool,No Fence,No Feature,0,5,2008,WD,Normal,139000,11.842236406331555,131.3550853131593,52,3
426,60,RM,60.0,8.12533508671429,Pave,Grvl,Reg,HLS,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,8,1946,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0,Unf,0,651,651,GasA,Gd,Y,SBrkr,707,682,0,1389,0,0,1,1,3,1,TA,6,Typ,2,Gd,Detchd,1947.0,Unf,1,240,TA,TA,P,0,0,126,0,0,0,No Pool,No Fence,No Feature,0,9,2009,WD,Normal,135000,11.813037464800539,170.94679606151252,63,3
427,80,RL,69.0,9.45727857185611,Pave,No Alley,Reg,Low,AllPub,Inside,Mod,SawyerW,Norm,Norm,1Fam,SLvl,7,5,1989,1989,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,145.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,1518,Unf,0,0,1518,GasA,Gd,Y,SBrkr,1644,0,0,1644,1,1,2,0,2,1,Gd,5,Typ,1,TA,Attchd,1989.0,Fin,2,569,TA,TA,Y,80,0,0,0,396,0,No Pool,No Fence,No Feature,0,8,2009,WD,Normal,275000,12.524530013005734,173.83436339629196,20,2
428,20,RL,77.0,9.058819564334941,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,6,1957,1957,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,288,Unf,0,619,907,GasA,Ex,Y,SBrkr,907,0,0,907,0,0,1,0,3,1,TA,5,Typ,0,No Fireplace,Detchd,1964.0,Unf,1,352,TA,TA,Y,0,0,0,0,0,0,No Pool,No Fence,No Feature,0,7,2008,WD,Normal,109008,11.599185726610004,100.12342044772673,51,3
429,20,RL,64.0,8.81922185757494,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,108.0,Gd,TA,PConc,Gd,TA,No,GLQ,664,Unf,0,544,1208,GasA,Ex,Y,SBrkr,1208,0,0,1208,1,0,2,0,2,1,Gd,6,Typ,0,No Fireplace,Attchd,2007.0,RFn,2,628,TA,TA,Y,105,54,0,0,0,0,No Pool,No Fence,No Feature,0,9,2007,New,Partial,195400,12.182809136284991,136.97353570512956,0,2
430,20,RL,130.0,9.346443454968522,Pave,No Alley,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,6,5,1988,1988,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Mn,GLQ,1005,Unf,0,387,1392,GasA,TA,Y,SBrkr,1412,0,0,1412,1,0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,1988.0,Unf,2,576,TA,TA,Y,0,0,169,0,0,0,No Pool,No Fence,No Feature,0,3,2009,WD,Normal,175000,12.07254696717504,151.07350799296688,21,3
431,160,RM,21.0,7.427144133408616,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,ALQ,387,Unf,0,96,483,GasA,TA,Y,SBrkr,483,504,0,987,0,0,1,1,2,1,TA,4,Typ,0,No Fireplace,Detchd,1971.0,Unf,1,264,TA,TA,Y,0,0,0,0,0,0,No Pool,No Fence,No Feature,0,7,2008,COD,Abnorml,85400,11.355113089309977,132.89091772977696,37,3
432,50,RM,60.0,8.628197749459149,Pave,No Alley,IR1,Bnk,AllPub,Inside,Gtl,OldTown,Feedr,Norm,1Fam,1.5Fin,6,7,1920,1998,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,901,901,GasA,Gd,Y,SBrkr,1088,110,0,1198,0,0,1,0,4,1,TA,7,Typ,0,No Fireplace,No Garage,,No Garage,0,0,No Garage,No Garage,N,0,98,0,0,0,0,No Pool,MnPrv,No Feature,0,9,2008,ConLD,Abnorml,79900,11.288543647320601,138.8470726780799,88,3
433,160,RM,24.0,7.560601162768557,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,TwnhsE,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,376.0,TA,TA,CBlock,TA,TA,No,ALQ,471,Unf,0,294,765,GasA,Ex,Y,SBrkr,765,600,0,1365,1,0,1,1,2,1,TA,6,Min1,0,No Fireplace,Detchd,1971.0,Unf,2,440,TA,TA,Y,240,36,0,0,0,0,No Pool,No Fence,No Feature,0,8,2007,WD,Normal,122500,11.715874472198905,180.5411991207537,36,3
434,60,RL,100.0,9.290998274993637,Pave,No Alley,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,926,926,GasA,Ex,Y,SBrkr,926,678,0,1604,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1997.0,Fin,2,470,TA,TA,Y,0,36,0,0,0,0,No Pool,No Fence,No Feature,0,7,2008,WD,Normal,181000,12.10625783509458,172.64022148374562,11,3
435,180,RM,21.0,7.544861068658458,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,SFoyer,4,7,1972,1972,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,Gd,CBlock,Gd,TA,Av,ALQ,495,Unf,0,135,630,GasA,Gd,Y,SBrkr,630,0,0,630,1,0,1,0,1,1,TA,3,Typ,0,No Fireplace,No Garage,,No Garage,0,0,No Garage,No Garage,Y,88,0,0,0,0,0,No Pool,No Fence,No Feature,0,6,2008,WD,Normal,81000,11.302216779257382,83.50054351789669,36,3
436,60,RL,43.0,9.275003885301905,Pave,No Alley,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,PosN,Norm,1Fam,2Story,7,6,1996,1996,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,385,ALQ,344,70,799,GasA,Ex,Y,SBrkr,827,834,0,1661,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,1996.0,RFn,2,550,TA,TA,Y,158,61,0,0,0,0,No Pool,No Fence,No Feature,0,4,2009,ConLw,Normal,212000,12.264346270624157,179.08348293332642,13,2
437,50,RM,40.0,8.38958706681109,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,6,8,1920,1950,Gable,CompShg,Stucco,Stucco,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0,Unf,0,648,648,GasA,TA,Y,FuseA,734,384,0,1118,0,0,1,0,2,1,TA,6,Typ,0,No Fireplace,Detchd,1990.0,Unf,2,440,TA,TA,Y,0,0,0,0,0,0,No Pool,No Fence,No Feature,0,10,2006,WD,Normal,116000,11.661354090741,133.26043237846216,86,3
438,45,RM,50.0,8.699681400989514,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,6,7,1926,2004,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Gd,TA,PConc,TA,TA,No,Unf,0,Unf,0,884,884,GasA,Gd,Y,SBrkr,904,0,0,904,0,0,1,0,2,1,TA,4,Typ,0,No Fireplace,Detchd,1926.0,Unf,1,180,TA,TA,Y,0,0,105,0,0,0,No Pool,No Fence,No Feature,0,1,2009,WD,Normal,119000,11.686887175419702,103.9118512888504,83,2
439,30,RL,40.0,8.361941906144946,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,5,6,1913,2002,Gable,CompShg,WdShing,Stucco,None,0.0,TA,TA,PConc,TA,TA,No,LwQ,365,Unf,0,75,440,GasA,TA,N,SBrkr,694,0,0,694,0,0,1,0,2,1,Gd,4,Typ,1,Gd,Detchd,1990.0,Unf,1,352,Gd,TA,P,0,0,34,0,0,0,No Pool,MnPrv,No Feature,0,3,2007,WD,Normal,90350,11.411457364027745,82.99507552067539,94,3
440,50,RL,67.0,9.42181611842271,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,8,1920,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,Fa,Mn,Unf,0,Unf,0,684,684,GasA,Gd,Y,SBrkr,684,512,0,1196,0,0,1,0,3,1,Gd,7,Typ,0,No Fireplace,Detchd,2005.0,Unf,2,528,TA,TA,Y,0,46,0,0,0,0,No Pool,GdPrv,Shed,800,8,2009,ConLI,Normal,110000,11.608244735642321,126.93943343485888,89,3
441,20,RL,105.0,9.644198554585564,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2008,2008,Hip,CompShg,VinylSd,VinylSd,Stone,200.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1767,ALQ,539,788,3094,GasA,Ex,Y,SBrkr,2402,0,0,2402,1,0,2,0,2,1,Ex,10,Typ,2,Gd,Attchd,2008.0,Fin,3,672,TA,TA,Y,0,72,0,0,170,0,No Pool,No Fence,No Feature,0,4,2009,WD,Normal,555000,13.22672519452875,249.06164948853234,1,0
442,90,RL,92.0,9.401704256754366,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,4,1955,1955,Gable,CompShg,VinylSd,VinylSd,BrkFace,270.0,TA,TA,CBlock,TA,TA,No,ALQ,133,Unf,0,1307,1440,GasA,TA,N,FuseF,1440,0,0,1440,0,0,2,0,4,2,Fa,8,Typ,0,No Fireplace,No Garage,,No Garage,0,0,No Garage,No Garage,Y,0,0,0,0,0,0,No Pool,No Fence,No Feature,0,9,2008,WD,Normal,118000,11.678448377988165,153.16372018035733,53,3
443,50,RM,52.0,8.738895704934043,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,7,1930,1992,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,1078,1078,GasA,TA,Y,SBrkr,1128,445,0,1573,0,0,2,0,3,1,TA,8,Typ,1,Gd,Detchd,1930.0,Unf,2,360,TA,TA,P,0,0,0,0,0,0,No Pool,No Fence,No Feature,0,6,2008,WD,Normal,162900,12.000897933306716,179.9998596060453,78,3
